id_emplacement,code_emplacement,id_entrepot,id_niveau,zone,type_emplacement,statut,actif
418,0A-01-01,235,,B7-PCK,PICKING,AVAILABLE,True
422,0A-01-02,235,,B7-PCK,PICKING,AVAILABLE,True
426,0A-01-03,235,,B7-PCK,PICKING,AVAILABLE,True
430,0A-02-01,235,,B7-PCK,PICKING,AVAILABLE,True
434,0A-02-02,235,,B7-PCK,PICKING,AVAILABLE,True
438,0A-02-03,235,,B7-PCK,PICKING,AVAILABLE,True
442,0B-01-01,235,,B7-PCK,PICKING,AVAILABLE,True
446,0B-01-02,235,,B7-PCK,PICKING,AVAILABLE,True
450,0B-01-03,235,,B7-PCK,PICKING,AVAILABLE,True
454,0B-02-01,235,,B7-PCK,PICKING,AVAILABLE,True
458,0B-02-02,235,,B7-PCK,PICKING,AVAILABLE,True
462,0B-02-03,235,,B7-PCK,PICKING,AVAILABLE,True
466,0B-03-01,235,,B7-PCK,PICKING,AVAILABLE,True
470,0B-03-02,235,,B7-PCK,PICKING,AVAILABLE,True
474,0B-03-03,235,,B7-PCK,PICKING,AVAILABLE,True
478,0C-01-01,235,,B7-PCK,PICKING,AVAILABLE,True
482,0C-01-02,235,,B7-PCK,PICKING,AVAILABLE,True
486,0C-01-03,235,,B7-PCK,PICKING,AVAILABLE,True
680,0C-02-01,235,,B7-PCK,PICKING,AVAILABLE,True
684,0C-02-02,235,,B7-PCK,PICKING,AVAILABLE,True
688,0C-02-03,235,,B7-PCK,PICKING,AVAILABLE,True
692,0D-01-01,235,,B7-PCK,PICKING,AVAILABLE,True
696,0D-01-02,235,,B7-PCK,PICKING,AVAILABLE,True
700,0D-01-03,235,,B7-PCK,PICKING,AVAILABLE,True
704,0D-02-01,235,,B7-PCK,PICKING,AVAILABLE,True
708,0D-02-02,235,,B7-PCK,PICKING,AVAILABLE,True
712,0D-02-03,235,,B7-PCK,PICKING,AVAILABLE,True
716,0D-03-01,235,,B7-PCK,PICKING,AVAILABLE,True
720,0D-03-02,235,,B7-PCK,PICKING,AVAILABLE,True
724,0D-03-03,235,,B7-PCK,PICKING,AVAILABLE,True
