id_transaction,no_ligne,id_produit,quantite,id_emplacement_source,id_emplacement_destination,lot_serie,code_motif
BL/ME25/03449,1,31851,80,,,,
BL/ME25/03449,2,31501,120,,,,
BL/ME25/03449,3,31501,480,,,,
BL/ME25/03449,4,31490,160,,,,
BL/ME25/03449,5,31496,40,,,,
BL/ME25/03449,6,31474,100,,,,
BL/ME25/03441,1,32089,30,,,,
BL/ME25/03441,2,32085,30,,,,
BL/ME25/03441,3,32079,30,,,,
BL/ME25/03441,4,32124,90,,,,
BL/ME25/03441,5,32005,180,,,,
BL/ME25/03441,6,32004,80,,,,
BL/ME25/03441,7,32003,180,,,,
BL/ME25/03463,1,31437,600,1403,,,
BL/ME25/03463,2,31449,600,,,,
BL/ME25/03463,3,31461,200,,,,
BL/ME25/03463,4,31463,2000,,,,
BL/ME25/03463,5,31473,800,1403,,,
BL/ME25/03463,6,31482,400,,,,
BL/ME25/03441,8,32001,180,,,,
BL/ME25/03441,9,31993,1000,,,,
BL/ME25/03441,10,31987,50,,,,
BL/ME25/03441,11,34397,100,,,,
BL/ME25/03441,12,34019,100,,,,
BL/ME25/03441,13,34013,500,,,,
BL/ME25/03441,14,34018,200,,,,
BL/ME25/03441,15,31731,500,,,,
BL/ME25/03441,16,31558,200,1403,,,
BL/ME25/03441,17,31549,500,,,,
BL/ME25/03441,18,31595,500,,,,
BL/ME25/03441,19,31473,600,,,,
BL/ME25/03441,20,31437,400,,,,
BL/ME25/03441,21,35596,120,,,,
BL/ME25/03441,22,34392,80,,,,
BL/ME25/03441,23,34392,0,,,,
BL/ME25/03441,24,31495,75,,,,
BL/ME25/03441,25,31674,100,1403,,,
BL/ME25/03441,26,31440,40,,,,
BL/ME25/03441,27,32002,90,,,,
BL/ME25/03441,28,32000,80,,,,
BL/ME25/03441,29,31992,300,,,,
BL/ME25/03441,30,31985,400,,,,
BL/ME25/03441,31,34015,500,,,,
BL/ME25/03441,32,34403,200,,,,
BL/ME25/03441,33,34016,500,,,,
BL/ME25/03441,34,35585,500,,,,
BL/ME25/03441,35,31766,80,1403,,,
BL/ME25/03441,36,31730,480,,,,
BL/ME25/03441,37,31730,120,,,,
BL/ME25/03441,38,31556,300,,,,
BL/ME25/03441,39,31543,500,,,,
BL/ME25/03441,40,31482,500,,,,
BL/ME25/03441,41,31453,120,,,,
BL/ME25/03441,42,31732,2000,,,,
BL/ME25/03441,43,35595,160,,,,
BL/ME25/03441,44,34393,60,,,,
BL/ME25/03441,45,34393,180,,,,
BL/ME25/03441,46,31494,80,,,,
BL/ME25/03441,47,31470,50,,,,
BL/ME25/03441,48,34209,9,,,,
BL/ME25/03446,1,31988,0,,,,
BL/ME25/03446,2,31995,200,,,,
BL/ME25/03446,3,32000,40,,,,
BL/ME25/03446,4,31441,60,,,,
BL/ME25/03446,5,31543,200,,,,
BL/ME25/03446,6,31565,500,,,,
BL/ME25/03446,7,31531,150,,,,
BL/ME25/03446,8,31579,100,,,,
BL/ME25/03446,9,31584,500,,,,
BL/ME25/03446,10,32082,6,,,,
BL/ME25/03446,11,35594,50,,,,
BL/ME25/03446,12,35580,100,,,,
BL/ME25/03446,13,34406,100,,,,
BL/ME25/03446,14,34393,60,,,,
BL/ME25/03446,15,31554,800,,,,
BL/ME25/03446,16,31557,300,,,,
BL/ME25/03446,17,31574,100,,,,
BL/ME25/03446,18,31595,300,,,,
BL/ME25/03446,19,31760,42,,,,
BL/ME25/03446,20,35574,200,,,,
BL/ME25/03446,21,35585,200,,,,
BL/ME25/03446,22,34016,200,,,,
BL/ME25/03446,23,34392,0,,,,
BL/ME25/03446,24,34395,32,,,,
BL/ME25/03446,25,31484,120,,,,
BL/ME25/03446,26,31484,480,,,,
BL/ME25/03446,27,31801,60,,,,
BL/ME25/03446,28,31841,60,,,,
BL/ME25/03446,29,31850,80,,,,
BL/ME25/03446,30,31859,60,,,,
BL/ME25/03446,31,31866,60,,,,
BL/ME25/03446,32,31501,120,,,,
BL/ME25/03446,33,31883,60,,,,
BL/ME25/03446,34,31887,60,,,,
BL/ME25/03446,35,31509,360,,,,
BL/ME25/03446,36,31951,120,,,,
BL/ME25/03446,37,31960,60,,,,
BL/ME25/03449,7,31472,100,,,,
BL/ME25/03449,8,31480,30,,,,
BL/ME25/03449,9,31960,120,,,,
BL/ME25/03449,10,31952,60,,,,
BL/ME25/03449,11,31953,240,,,,
BL/ME25/03449,12,31898,80,,,,
BL/ME25/03449,13,31484,840,,,,
BL/ME25/03449,14,31509,360,,,,
BL/ME25/03449,15,31499,80,,,,
BL/ME25/03449,16,32013,5,,,,
BL/ME25/03449,17,34395,32,,,,
BL/ME25/03449,18,31584,500,,,,
BL/ME25/03449,19,31578,100,,,,
BL/ME25/03449,20,31723,1400,,,,
BL/ME25/03449,21,31729,1500,,,,
BL/ME25/03449,22,31732,1000,,,,
BL/ME25/03463,7,35596,120,,,,
BL/ME25/03463,8,35574,600,,,,
BL/ME25/03463,9,35586,200,,,,
BL/ME25/03463,10,31796,60,,,,
BL/ME25/03463,11,31801,120,,,,
BL/ME25/03463,12,31953,60,,,,
BL/ME25/03463,13,31994,800,,,,
BL/ME25/03463,14,34201,75,,,,
BL/ME25/03463,15,34201,25,,,,
BL/ME25/03463,16,34202,100,,,,
BL/ME25/03463,17,34203,40,,,,
BL/ME25/03463,18,34183,100,,,,
BL/ME25/03463,19,31761,1500,,,,
BL/ME25/03516,1,31688,0,,,,
BL/ME25/03516,2,31688,0,,,,
BL/ME25/03516,3,31706,0,,,,
BL/ME25/03516,4,31706,0,,,,
BL/ME25/03516,5,31706,0,,,,
BL/ME25/03516,6,31674,0,,,,
BL/ME25/03516,7,31698,0,,,,
BL/ME25/03516,8,31700,0,,,,
BL/ME25/03516,9,31647,0,,,,
BL/ME25/03516,10,31647,0,,,,
BL/ME25/03516,11,31665,0,,,,
BL/ME25/03516,12,36622,0,,,,
BL/ME25/03516,13,39033,0,1403,,,
BL/ME25/03448,1,35595,400,,,,
BL/ME25/03448,2,35597,96,,,,
BL/ME25/03437,1,31584,200,,,,
BL/ME25/03437,2,31587,300,,,,
BL/ME25/03437,3,34016,100,,,,
BL/ME25/03437,4,34015,300,,,,
BL/ME25/03437,5,34015,700,,,,
BL/ME25/03437,6,34391,100,,,,
BL/ME25/03448,3,31554,500,,,,
BL/ME25/03448,4,31565,200,,,,
BL/ME25/03448,5,31543,200,,,,
BL/ME25/03448,6,31552,240,,,,
BL/ME25/03448,7,31729,750,,,,
BL/ME25/03448,8,31993,300,,,,
BL/ME25/03448,9,32001,270,,,,
BL/ME25/03448,10,31766,720,1403,,,
BL/ME25/03437,7,34014,300,,,,
BL/ME25/03437,8,34013,100,,,,
BL/ME25/03448,11,31766,80,,,,
BL/ME25/03437,9,34403,100,,,,
BL/ME25/03437,10,34397,50,,,,
BL/ME25/03437,11,34017,100,,,,
BL/ME25/03437,12,34393,180,,,,
BL/ME25/03437,13,34392,240,,,,
BL/ME25/03437,14,32078,12,,,,
BL/ME25/03437,15,32081,12,,,,
BL/ME25/03437,16,32087,18,,,,
BL/ME25/03437,17,32088,30,,,,
BL/ME25/03437,18,32089,15,,,,
BL/ME25/03437,19,31463,300,,,,
BL/ME25/03437,20,31449,100,,,,
BL/ME25/03437,21,31453,60,,,,
BL/ME25/03437,22,31447,50,,,,
BL/ME25/03437,23,31440,200,,,,
BL/ME25/03437,24,31441,100,,,,
BL/ME25/03463,20,31342,32,,,,
BL/ME25/03463,21,31484,240,,,,
BL/ME25/03463,22,31485,80,,,,
BL/ME25/03463,23,31587,800,,,,
BL/ME25/03463,24,34018,400,,,,
BL/ME25/03463,25,34014,400,,,,
BL/ME25/03463,26,34402,50,,,,
BL/ME25/03463,27,34013,600,,,,
BL/ME25/03463,28,34403,400,,,,
BL/ME25/03463,29,34017,400,,,,
BL/ME25/03463,30,35585,1500,,,,
BL/ME25/03463,31,35578,400,,,,
BL/ME25/03463,32,35576,400,,,,
BL/ME25/03463,33,35598,32,,,,
BL/ME25/03438,1,31543,100,,,,
BL/ME25/03446,38,31799,60,,,,
BL/ME25/03446,39,31803,60,,,,
