id_transaction,type_transaction,reference_transaction,cree_le,cree_par_id_utilisateur,statut,notes
T0001,RECEIPT,RCV-2026-0001,2026-02-03 09:15:00,U001,CONFIRMED,Inbound from supplier X
BL/ME25/03449,ISSUE,BL/ME25/03449,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME005
BL/ME25/03441,ISSUE,BL/ME25/03441,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id MC008
BL/ME25/03463,ISSUE,BL/ME25/03463,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id MK002
BL/ME25/03446,ISSUE,BL/ME25/03446,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME056
BL/ME25/03516,ISSUE,BL/ME25/03516,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id MCH122
BL/ME25/03448,ISSUE,BL/ME25/03448,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME049
BL/ME25/03437,ISSUE,BL/ME25/03437,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id MC065
BL/ME25/03438,ISSUE,BL/ME25/03438,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id MC001
BL/ME25/03649,ISSUE,BL/ME25/03649,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MC008
BL/ME25/01,ISSUE,BL/ME25/01,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MC008
BL/ME25/03653,ISSUE,BL/ME25/03653,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MCH736
BL/ME25/03697,ISSUE,BL/ME25/03697,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MC011
BL/ME25/03703,ISSUE,BL/ME25/03703,2025-03-18 00:00:00,U001,CONFIRMED,Outbound to customer id MC115
BL/ME25/03572,ISSUE,BL/ME25/03572,2025-03-15 00:00:00,U001,CONFIRMED,Outbound to customer id MS045
BL/ME25/03576,ISSUE,BL/ME25/03576,2025-03-15 00:00:00,U001,CONFIRMED,Outbound to customer id MS034
BL/ME25/03594,ISSUE,BL/ME25/03594,2025-03-16 00:00:00,U001,CONFIRMED,Outbound to customer id MS027
BL/ME25/03370,ISSUE,BL/ME25/03370,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MC020
BL/ME25/03650,ISSUE,BL/ME25/03650,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MO061
BL/ME25/03651,ISSUE,BL/ME25/03651,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MC003
BL/ME25/03511,ISSUE,BL/ME25/03511,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id 9
BL/ME25/03592,ISSUE,BL/ME25/03592,2025-03-16 00:00:00,U001,CONFIRMED,Outbound to customer id MC033
BL/ME25/03593,ISSUE,BL/ME25/03593,2025-03-16 00:00:00,U001,CONFIRMED,Outbound to customer id MC102
BL/ME25/03597,ISSUE,BL/ME25/03597,2025-03-16 00:00:00,U001,CONFIRMED,Outbound to customer id MO003
BL/ME25/03513,ISSUE,BL/ME25/03513,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id MC007
BL/ME25/03515,ISSUE,BL/ME25/03515,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id MCH821
BL/ME25/03537,ISSUE,BL/ME25/03537,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id 5
BL/ME25/03573,ISSUE,BL/ME25/03573,2025-03-15 00:00:00,U001,CONFIRMED,Outbound to customer id ME061
BL/ME25/03506,ISSUE,BL/ME25/03506,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id MC046
BL/ME25/03508,ISSUE,BL/ME25/03508,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id MCH821
BL/ME25/03575,ISSUE,BL/ME25/03575,2025-03-15 00:00:00,U001,CONFIRMED,Outbound to customer id MS031
BL/ME25/03445,ISSUE,BL/ME25/03445,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id MC001
BL/ME25/03510,ISSUE,BL/ME25/03510,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id 9
BL/ME25/03574,ISSUE,BL/ME25/03574,2025-03-15 00:00:00,U001,CONFIRMED,Outbound to customer id ME049
BL/ME25/03591,ISSUE,BL/ME25/03591,2025-03-16 00:00:00,U001,CONFIRMED,Outbound to customer id MK021
BL/ME25/03595,ISSUE,BL/ME25/03595,2025-03-16 00:00:00,U001,CONFIRMED,Outbound to customer id MC115
BL/ME25/03596,ISSUE,BL/ME25/03596,2025-03-16 00:00:00,U001,CONFIRMED,Outbound to customer id MC003
BL/ME25/03529,ISSUE,BL/ME25/03529,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id 9
BL/ME25/03382,ISSUE,BL/ME25/03382,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id 9
BL/ME25/03771,ISSUE,BL/ME25/03771,2025-03-19 00:00:00,U001,CONFIRMED,Outbound to customer id MS035
BL/ME25/03933,ISSUE,BL/ME25/03933,2025-03-23 00:00:00,U001,CONFIRMED,Outbound to customer id ME059
BL/ME25/03702,ISSUE,BL/ME25/03702,2025-03-18 00:00:00,U001,CONFIRMED,Outbound to customer id MCH684
BL/ME25/03814,ISSUE,BL/ME25/03814,2025-03-19 00:00:00,U001,CONFIRMED,Outbound to customer id MC062
BL/ME25/03536,ISSUE,BL/ME25/03536,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id 9
BL/ME25/03571,ISSUE,BL/ME25/03571,2025-03-15 00:00:00,U001,CONFIRMED,Outbound to customer id MO032
BL/ME25/03706,ISSUE,BL/ME25/03706,2025-03-18 00:00:00,U001,CONFIRMED,Outbound to customer id MCH881
BL/ME25/03718,ISSUE,BL/ME25/03718,2025-03-18 00:00:00,U001,CONFIRMED,Outbound to customer id 5
BL/ME25/03719,ISSUE,BL/ME25/03719,2025-03-18 00:00:00,U001,CONFIRMED,Outbound to customer id MS088
BL/ME25/03774,ISSUE,BL/ME25/03774,2025-03-19 00:00:00,U001,CONFIRMED,Outbound to customer id MK021
BL/ME25/03705,ISSUE,BL/ME25/03705,2025-03-18 00:00:00,U001,CONFIRMED,Outbound to customer id MC008
BL/ME25/03715,ISSUE,BL/ME25/03715,2025-03-18 00:00:00,U001,CONFIRMED,Outbound to customer id MCH739
BL/ME25/03767,ISSUE,BL/ME25/03767,2025-03-19 00:00:00,U001,CONFIRMED,Outbound to customer id MC001
BL/ME25/03796,ISSUE,BL/ME25/03796,2025-03-19 00:00:00,U001,CONFIRMED,Outbound to customer id MO042
