Table_EN,Colonne_EN,Table_FR,Colonne_FR
products,product_id,produits,id_produit
products,sku,produits,sku
products,product_name,produits,nom_produit
products,uom,produits,unite_mesure
products,category,produits,categorie
products,is_active,produits,actif
product_barcodes,barcode_value,codes_barres_produits,code_barres
product_barcodes,product_id,codes_barres_produits,id_produit
product_barcodes,barcode_type,codes_barres_produits,type_code_barres
product_barcodes,is_primary,codes_barres_produits,principal
warehouses,warehouse_id,entrepots,id_entrepot
warehouses,warehouse_code,entrepots,code_entrepot
warehouses,warehouse_name,entrepots,nom_entrepot
warehouses,city,entrepots,ville
warehouses,is_active,entrepots,actif
locations,location_id,emplacements,id_emplacement
locations,location_code,emplacements,code_emplacement
locations,warehouse_id,emplacements,id_entrepot
locations,zone,emplacements,zone
locations,location_type,emplacements,type_emplacement
locations,is_active,emplacements,actif
users,user_id,utilisateurs,id_utilisateur
users,full_name,utilisateurs,nom_complet
users,role,utilisateurs,role
users,email,utilisateurs,email
users,is_active,utilisateurs,actif
transactions,txn_id,transactions,id_transaction
transactions,txn_type,transactions,type_transaction
transactions,txn_ref,transactions,reference_transaction
transactions,created_at,transactions,cree_le
transactions,created_by_user_id,transactions,cree_par_id_utilisateur
transactions,status,transactions,statut
transactions,notes,transactions,notes
transaction_lines,txn_id,lignes_transaction,id_transaction
transaction_lines,line_no,lignes_transaction,no_ligne
transaction_lines,product_id,lignes_transaction,id_produit
transaction_lines,qty,lignes_transaction,quantite
transaction_lines,from_location_id,lignes_transaction,id_emplacement_source
transaction_lines,to_location_id,lignes_transaction,id_emplacement_destination
transaction_lines,lot_batch,lignes_transaction,lot_serie
transaction_lines,reason_code,lignes_transaction,code_motif
demand_history,date,historique_demande,date
demand_history,product_id,historique_demande,id_produit
demand_history,demand_qty,historique_demande,quantite_demande
lead_times,product_id,delais_approvisionnement,id_produit
lead_times,lead_time_days,delais_approvisionnement,delai_jours
reorder_policy,product_id,politique_reapprovisionnement,id_produit
reorder_policy,safety_stock_qty,politique_reapprovisionnement,stock_securite
reorder_policy,min_order_qty,politique_reapprovisionnement,quantite_min_commande
reorder_policy,pack_size_qty,politique_reapprovisionnement,taille_lot
open_purchase_orders_optional,po_id,cmd_achat_ouvertes_opt,id_commande_achat
open_purchase_orders_optional,product_id,cmd_achat_ouvertes_opt,id_produit
open_purchase_orders_optional,qty_ordered,cmd_achat_ouvertes_opt,quantite_commandee
open_purchase_orders_optional,expected_receipt_date,cmd_achat_ouvertes_opt,date_reception_prevue
open_purchase_orders_optional,status,cmd_achat_ouvertes_opt,statut
