id_emplacement,code_emplacement,id_entrepot,zone,type_emplacement,actif,Volume (m3),
418,0A-01-01,235,B7-PCK,PICKING,True,,
422,0A-01-02,235,B7-PCK,PICKING,True,,
426,0A-01-03,235,B7-PCK,PICKING,True,,
430,0A-02-01,235,B7-PCK,PICKING,True,,
434,0A-02-02,235,B7-PCK,PICKING,True,,
438,0A-02-03,235,B7-PCK,PICKING,True,,
442,0B-01-01,235,B7-PCK,PICKING,True,,
446,0B-01-02,235,B7-PCK,PICKING,True,,
450,0B-01-03,235,B7-PCK,PICKING,True,,
454,0B-02-01,235,B7-PCK,PICKING,True,,
458,0B-02-02,235,B7-PCK,PICKING,True,,
462,0B-02-03,235,B7-PCK,PICKING,True,,
466,0B-03-01,235,B7-PCK,PICKING,True,ùù,²312
470,0B-03-02,235,B7-PCK,PICKING,True,,
474,0B-03-03,235,B7-PCK,PICKING,True,,
478,0C-01-01,235,B7-PCK,PICKING,True,,
482,0C-01-02,235,B7-PCK,PICKING,True,,
486,0C-01-03,235,B7-PCK,PICKING,True,,
680,0C-02-01,235,B7-PCK,PICKING,True,,
684,0C-02-02,235,B7-PCK,PICKING,True,,
688,0C-02-03,235,B7-PCK,PICKING,True,,
692,0D-01-01,235,B7-PCK,PICKING,True,,
696,0D-01-02,235,B7-PCK,PICKING,True,,
700,0D-01-03,235,B7-PCK,PICKING,True,,
704,0D-02-01,235,B7-PCK,PICKING,True,,
708,0D-02-02,235,B7-PCK,PICKING,True,,
712,0D-02-03,235,B7-PCK,PICKING,True,,
716,0D-03-01,235,B7-PCK,PICKING,True,,
720,0D-03-02,235,B7-PCK,PICKING,True,,
724,0D-03-03,235,B7-PCK,PICKING,True,,
728,0E-01-01,235,B7-PCK,PICKING,True,,
732,0E-01-02,235,B7-PCK,PICKING,True,,
736,0E-01-03,235,B7-PCK,PICKING,True,,
740,0E-02-01,235,B7-PCK,PICKING,True,,
744,0E-02-02,235,B7-PCK,PICKING,True,,
748,0E-02-03,235,B7-PCK,PICKING,True,,
752,0F-01-01,235,B7-PCK,PICKING,True,,
756,0F-01-02,235,B7-PCK,PICKING,True,,
760,0F-01-03,235,B7-PCK,PICKING,True,,
764,0F-02-01,235,B7-PCK,PICKING,True,,
768,0F-02-02,235,B7-PCK,PICKING,True,,
772,0F-02-03,235,B7-PCK,PICKING,True,,
776,0F-03-01,235,B7-PCK,PICKING,True,,
780,0F-03-02,235,B7-PCK,PICKING,True,,
784,0F-03-03,235,B7-PCK,PICKING,True,,
788,0G-01-01,235,B7-PCK,PICKING,True,,
792,0G-01-02,235,B7-PCK,PICKING,True,,
796,0G-01-03,235,B7-PCK,PICKING,True,,
800,0G-02-01,235,B7-PCK,PICKING,True,,
804,0G-02-02,235,B7-PCK,PICKING,True,,
808,0G-02-03,235,B7-PCK,PICKING,True,,
812,0H-01-01,235,B7-PCK,PICKING,True,,
816,0H-01-02,235,B7-PCK,PICKING,True,,
820,0H-01-03,235,B7-PCK,PICKING,True,,
824,0H-02-01,235,B7-PCK,PICKING,True,,
828,0H-02-02,235,B7-PCK,PICKING,True,,
832,0H-02-03,235,B7-PCK,PICKING,True,,
836,0H-03-01,235,B7-PCK,PICKING,True,,
840,0H-03-02,235,B7-PCK,PICKING,True,,
844,0H-03-03,235,B7-PCK,PICKING,True,,
848,0I-01-01,235,B7-PCK,PICKING,True,,
852,0I-01-02,235,B7-PCK,PICKING,True,,
856,0I-01-03,235,B7-PCK,PICKING,True,,
860,0I-02-01,235,B7-PCK,PICKING,True,,
894,0I-02-02,235,B7-PCK,PICKING,True,,
898,0I-02-03,235,B7-PCK,PICKING,True,,
902,0K-01-01,235,B7-PCK,PICKING,True,,
906,0K-01-02,235,B7-PCK,PICKING,True,,
910,0K-01-03,235,B7-PCK,PICKING,True,,
914,0K-02-01,235,B7-PCK,PICKING,True,,
918,0K-02-02,235,B7-PCK,PICKING,True,,
922,0K-02-03,235,B7-PCK,PICKING,True,,
926,0K-03-01,235,B7-PCK,PICKING,True,,
930,0K-03-02,235,B7-PCK,PICKING,True,,
934,0K-03-03,235,B7-PCK,PICKING,True,,
974,0M-01-01,235,B7-PCK,PICKING,True,,
978,0M-01-02,235,B7-PCK,PICKING,True,,
982,0M-01-03,235,B7-PCK,PICKING,True,,
986,0M-02-01,235,B7-PCK,PICKING,True,,
990,0M-02-02,235,B7-PCK,PICKING,True,,
994,0M-02-03,235,B7-PCK,PICKING,True,,
938,0N-01-01,235,B7-PCK,PICKING,True,,
942,0N-01-02,235,B7-PCK,PICKING,True,,
946,0N-01-03,235,B7-PCK,PICKING,True,,
950,0N-02-01,235,B7-PCK,PICKING,True,,
954,0N-02-02,235,B7-PCK,PICKING,True,,
958,0N-02-03,235,B7-PCK,PICKING,True,,
962,0N-03-01,235,B7-PCK,PICKING,True,,
966,0N-03-02,235,B7-PCK,PICKING,True,,
970,0N-03-03,235,B7-PCK,PICKING,True,,
998,0P-01-01,235,B7-PCK,PICKING,True,,
1002,0P-01-02,235,B7-PCK,PICKING,True,,
1006,0P-01-03,235,B7-PCK,PICKING,True,,
1010,0P-02-01,235,B7-PCK,PICKING,True,,
1014,0P-02-02,235,B7-PCK,PICKING,True,,
1018,0P-02-03,235,B7-PCK,PICKING,True,,
1022,0Q-01-01,235,B7-PCK,PICKING,True,,
1026,0Q-01-02,235,B7-PCK,PICKING,True,,
1030,0Q-01-03,235,B7-PCK,PICKING,True,,
1034,0Q-02-01,235,B7-PCK,PICKING,True,,
1038,0Q-02-02,235,B7-PCK,PICKING,True,,
1042,0Q-02-03,235,B7-PCK,PICKING,True,,
1046,0Q-03-01,235,B7-PCK,PICKING,True,,
1050,0Q-03-02,235,B7-PCK,PICKING,True,,
1054,0Q-03-03,235,B7-PCK,PICKING,True,,
1058,0R-01-01,235,B7-PCK,PICKING,True,,
1062,0R-01-02,235,B7-PCK,PICKING,True,,
1066,0R-01-03,235,B7-PCK,PICKING,True,,
