id_transaction,no_ligne,id_produit,quantite,id_emplacement_source,id_emplacement_destination,lot_serie,code_motif
texte,entier,texte,nombre,texte,texte,texte,texte
O,O,O,O,O,O,N,N
BL/ME25/03449,,31851,80,54,COSTUMER LOCATION,,
BL/ME25/03449,,31501,120,609,COSTUMER LOCATION,,
BL/ME25/03449,,31501,480,610,COSTUMER LOCATION,,
BL/ME25/03449,,31490,160,35,COSTUMER LOCATION,,
BL/ME25/03449,,31496,40,39,COSTUMER LOCATION,,
BL/ME25/03449,,31474,100,531,COSTUMER LOCATION,,
BL/ME25/03441,,32089,30,366,COSTUMER LOCATION,,
BL/ME25/03441,,32085,30,628,COSTUMER LOCATION,,
BL/ME25/03441,,32079,30,628,COSTUMER LOCATION,,
BL/ME25/03441,,32124,90,303,COSTUMER LOCATION,,
BL/ME25/03441,,32005,180,652,COSTUMER LOCATION,,
BL/ME25/03441,,32004,80,627,COSTUMER LOCATION,,
BL/ME25/03441,,32003,180,627,COSTUMER LOCATION,,
BL/ME25/03463,,31437,600,1403,COSTUMER LOCATION,,
BL/ME25/03463,,31449,600,284,COSTUMER LOCATION,,
BL/ME25/03463,,31461,200,529,COSTUMER LOCATION,,
BL/ME25/03463,,31463,2000,627,COSTUMER LOCATION,,
BL/ME25/03463,,31473,800,1403,COSTUMER LOCATION,,
BL/ME25/03463,,31482,400,284,COSTUMER LOCATION,,
BL/ME25/03441,,32001,180,653,COSTUMER LOCATION,,
BL/ME25/03441,,31993,1000,524,COSTUMER LOCATION,,
BL/ME25/03441,,31987,50,649,COSTUMER LOCATION,,
BL/ME25/03441,,34397,100,307,COSTUMER LOCATION,,
BL/ME25/03441,,34019,100,602,COSTUMER LOCATION,,
BL/ME25/03441,,34013,500,625,COSTUMER LOCATION,,
BL/ME25/03441,,34018,200,290,COSTUMER LOCATION,,
BL/ME25/03441,,31731,500,61,COSTUMER LOCATION,,
BL/ME25/03441,,31558,200,1403,COSTUMER LOCATION,,
BL/ME25/03441,,31549,500,294,COSTUMER LOCATION,,
BL/ME25/03441,,31595,500,548,COSTUMER LOCATION,,
BL/ME25/03441,,31473,600,529,COSTUMER LOCATION,,
BL/ME25/03441,,31437,400,284,COSTUMER LOCATION,,
BL/ME25/03441,,35596,120,200,COSTUMER LOCATION,,
BL/ME25/03441,,34392,80,106,COSTUMER LOCATION,,
BL/ME25/03441,,34392,0,106,COSTUMER LOCATION,,
BL/ME25/03441,,31495,75,35,COSTUMER LOCATION,,
BL/ME25/03441,,31674,100,1403,COSTUMER LOCATION,,
BL/ME25/03441,,31440,40,66,COSTUMER LOCATION,,
BL/ME25/03441,,32002,90,627,COSTUMER LOCATION,,
BL/ME25/03441,,32000,80,627,COSTUMER LOCATION,,
BL/ME25/03441,,31992,300,342,COSTUMER LOCATION,,
BL/ME25/03441,,31985,400,502,COSTUMER LOCATION,,
BL/ME25/03441,,34015,500,627,COSTUMER LOCATION,,
BL/ME25/03441,,34403,200,625,COSTUMER LOCATION,,
BL/ME25/03441,,34016,500,647,COSTUMER LOCATION,,
BL/ME25/03441,,35585,500,626,COSTUMER LOCATION,,
BL/ME25/03441,,31766,80,1403,COSTUMER LOCATION,,
BL/ME25/03441,,31730,480,533,COSTUMER LOCATION,,
BL/ME25/03441,,31730,120,535,COSTUMER LOCATION,,
BL/ME25/03441,,31556,300,20,COSTUMER LOCATION,,
BL/ME25/03441,,31543,500,294,COSTUMER LOCATION,,
BL/ME25/03441,,31482,500,542,COSTUMER LOCATION,,
BL/ME25/03441,,31453,120,530,COSTUMER LOCATION,,
BL/ME25/03441,,31732,2000,540,COSTUMER LOCATION,,
BL/ME25/03441,,35595,160,292,COSTUMER LOCATION,,
BL/ME25/03441,,34393,60,537,COSTUMER LOCATION,,
BL/ME25/03441,,34393,180,388,COSTUMER LOCATION,,
BL/ME25/03441,,31494,80,3,COSTUMER LOCATION,,
BL/ME25/03441,,31470,50,284,COSTUMER LOCATION,,
BL/ME25/03441,,34209,9,304,COSTUMER LOCATION,,
