id_transaction,type_transaction,reference_transaction,cree_le,cree_par_id_utilisateur,statut,notes
T0001,RECEIPT,RCV-2026-0001,2026-02-03 09:15:00,U001,CONFIRMED,Inbound from supplier X
BL/ME25/03449,DELIVERY,BL/ME25/03449,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME005
BL/ME25/03441,DELIVERY,BL/ME25/03441,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id MC008
BL/ME25/03463,DELIVERY,BL/ME25/03463,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id MK002
BL/ME25/03446,DELIVERY,BL/ME25/03446,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME056
BL/ME25/03516,DELIVERY,BL/ME25/03516,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id MCH122
BL/ME25/03448,DELIVERY,BL/ME25/03448,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id ME049
BL/ME25/03437,DELIVERY,BL/ME25/03437,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id MC065
BL/ME25/03438,DELIVERY,BL/ME25/03438,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id MC001
BL/ME25/03649,DELIVERY,BL/ME25/03649,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MC008
BL/ME25/01,DELIVERY,BL/ME25/01,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MC008
BL/ME25/03653,DELIVERY,BL/ME25/03653,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MCH736
BL/ME25/03697,DELIVERY,BL/ME25/03697,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MC011
BL/ME25/03703,DELIVERY,BL/ME25/03703,2025-03-18 00:00:00,U001,CONFIRMED,Outbound to customer id MC115
BL/ME25/03572,DELIVERY,BL/ME25/03572,2025-03-15 00:00:00,U001,CONFIRMED,Outbound to customer id MS045
BL/ME25/03576,DELIVERY,BL/ME25/03576,2025-03-15 00:00:00,U001,CONFIRMED,Outbound to customer id MS034
BL/ME25/03594,DELIVERY,BL/ME25/03594,2025-03-16 00:00:00,U001,CONFIRMED,Outbound to customer id MS027
BL/ME25/03370,DELIVERY,BL/ME25/03370,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MC020
BL/ME25/03650,DELIVERY,BL/ME25/03650,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MO061
BL/ME25/03651,DELIVERY,BL/ME25/03651,2025-03-17 00:00:00,U001,CONFIRMED,Outbound to customer id MC003
BL/ME25/03511,DELIVERY,BL/ME25/03511,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id 9
BL/ME25/03592,DELIVERY,BL/ME25/03592,2025-03-16 00:00:00,U001,CONFIRMED,Outbound to customer id MC033
BL/ME25/03593,DELIVERY,BL/ME25/03593,2025-03-16 00:00:00,U001,CONFIRMED,Outbound to customer id MC102
BL/ME25/03597,DELIVERY,BL/ME25/03597,2025-03-16 00:00:00,U001,CONFIRMED,Outbound to customer id MO003
BL/ME25/03513,DELIVERY,BL/ME25/03513,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id MC007
BL/ME25/03515,DELIVERY,BL/ME25/03515,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id MCH821
BL/ME25/03537,DELIVERY,BL/ME25/03537,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id 5
BL/ME25/03573,DELIVERY,BL/ME25/03573,2025-03-15 00:00:00,U001,CONFIRMED,Outbound to customer id ME061
BL/ME25/03506,DELIVERY,BL/ME25/03506,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id MC046
BL/ME25/03508,DELIVERY,BL/ME25/03508,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id MCH821
BL/ME25/03575,DELIVERY,BL/ME25/03575,2025-03-15 00:00:00,U001,CONFIRMED,Outbound to customer id MS031
BL/ME25/03445,DELIVERY,BL/ME25/03445,2025-03-12 00:00:00,U001,CONFIRMED,Outbound to customer id MC001
BL/ME25/03510,DELIVERY,BL/ME25/03510,2025-03-13 00:00:00,U001,CONFIRMED,Outbound to customer id 9
